Field.code	Field	N.non.missing	N.missing	N.cases	N.controls	Notes
20002_1387	Non-cancer illness code, self-reported: hayfever/allergic rhinitis	337159	40	19320	317839	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as """"unclassifiable""""."
20002_1465	Non-cancer illness code, self-reported: osteoarthritis	337159	40	28257	308902	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as """"unclassifiable""""."
20002_1473	Non-cancer illness code, self-reported: high cholesterol	337159	40	41296	295863	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as """"unclassifiable""""."
20002_99999	Non-cancer illness code, self-reported: unclassifiable	337159	40	13589	323570	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as """"unclassifiable""""."
20003_1140852976	Treatment/medication code: multivitamins	337159	40	10402	326757	Code for treatment Negative codes indicate free-text entry.
20003_1140860806	Treatment/medication code: ramipril	337159	40	15787	321372	Code for treatment Negative codes indicate free-text entry.
20003_1140861958	Treatment/medication code: simvastatin	337159	40	38492	298667	Code for treatment Negative codes indicate free-text entry.
20003_1140864752	Treatment/medication code: lansoprazole	337159	40	12071	325088	Code for treatment Negative codes indicate free-text entry.
20003_1140865634	Treatment/medication code: omeprazole	337159	40	19668	317491	Code for treatment Negative codes indicate free-text entry.
20003_1140866738	Treatment/medication code: atenolol	337159	40	13184	323975	Code for treatment Negative codes indicate free-text entry.
20003_1140868226	Treatment/medication code: aspirin	337159	40	45012	292147	Code for treatment Negative codes indicate free-text entry.
20003_1140871310	Treatment/medication code: ibuprofen	337159	40	41952	295207	Code for treatment Negative codes indicate free-text entry.
20003_1140879802	Treatment/medication code: amlodipine	337159	40	13693	323466	Code for treatment Negative codes indicate free-text entry.
20003_1140909674	Treatment/medication code: cod liver oil capsule	337159	40	19806	317353	Code for treatment Negative codes indicate free-text entry.
20003_1141146234	Treatment/medication code: atorvastatin	337159	40	10167	326992	Code for treatment Negative codes indicate free-text entry.
20003_1141188442	Treatment/medication code: glucosamine product	337159	40	22914	314245	Code for treatment Negative codes indicate free-text entry.
20003_1141191044	Treatment/medication code: levothyroxine sodium	337159	40	13717	323442	Code for treatment Negative codes indicate free-text entry.
20003_1141194794	Treatment/medication code: bendroflumethiazide	337159	40	19084	318075	Code for treatment Negative codes indicate free-text entry.
20003_1193	Treatment/medication code: omega-3/fish oil supplement	337159	40	12924	324235	Code for treatment Negative codes indicate free-text entry.
20003_2038460150	Treatment/medication code: paracetamol	337159	40	62050	275109	Code for treatment Negative codes indicate free-text entry.
20003_99999	Treatment/medication code: Free-text entry, unable to be coded	337159	40	11362	325797	Code for treatment Negative codes indicate free-text entry.
2010	Suffer from 'nerves'	325248	11951	69352	255896	"ACE touchscreen question """"Do you suffer from 'nerves'?"""" If the participant activated the Help button they were shown the message: Work through these questions quickly and do not think about the exact meaning of the question"
20107_1	Illnesses of father: Heart disease	298237	38962	97385	200852	"This field contains the combined results of 2 ACE touchscreen questions, both asked """"Has/did your father ever suffer from? (You can select more than one answer)"""" for different sets of illnesses. For convenience, the illnesses were arbitrarily divided into two sets: Group 1 : Heart disease, Stroke, High blood pressure, Chronic bronchitis/emphysema, Alzheimer's disease/dementia, Diabetes. Group 2 : Parkinson's disease, Severe Depression, Lung cancer, Bowel cancer, Prostate cancer. If any of codes -11, -13 or -17 were selected then no additional Group 1 choices were allowed. If any of codes -21, -23 or -27 were selected then no additional Group 2 choices were allowed. If the participant activated the Help button they were shown the message: Answer this question for blood relations only. If you are not sure if your father suffered from any of the listed illnesses please select Do not know. If you know your father suffered from certain listed illnesses but are unsure about others, only select the ones you are sure about. The information was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~ and who indicated whether their natural father was still alive or had died, as defined by their answers to ~F1797~. Note that although Breast cancer is present in ~C1010~, participants were not presented with this option when selecting Father illnesses."
20107_10	Illnesses of father: Alzheimer's disease/dementia	292807	44392	14024	278783	"This field contains the combined results of 2 ACE touchscreen questions, both asked """"Has/did your father ever suffer from? (You can select more than one answer)"""" for different sets of illnesses. For convenience, the illnesses were arbitrarily divided into two sets: Group 1 : Heart disease, Stroke, High blood pressure, Chronic bronchitis/emphysema, Alzheimer's disease/dementia, Diabetes. Group 2 : Parkinson's disease, Severe Depression, Lung cancer, Bowel cancer, Prostate cancer. If any of codes -11, -13 or -17 were selected then no additional Group 1 choices were allowed. If any of codes -21, -23 or -27 were selected then no additional Group 2 choices were allowed. If the participant activated the Help button they were shown the message: Answer this question for blood relations only. If you are not sure if your father suffered from any of the listed illnesses please select Do not know. If you know your father suffered from certain listed illnesses but are unsure about others, only select the ones you are sure about. The information was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~ and who indicated whether their natural father was still alive or had died, as defined by their answers to ~F1797~. Note that although Breast cancer is present in ~C1010~, participants were not presented with this option when selecting Father illnesses."
20107_100	Illnesses of father: None of the above (group 1)	294791	42408	109206	185585	"This field contains the combined results of 2 ACE touchscreen questions, both asked """"Has/did your father ever suffer from? (You can select more than one answer)"""" for different sets of illnesses. For convenience, the illnesses were arbitrarily divided into two sets: Group 1 : Heart disease, Stroke, High blood pressure, Chronic bronchitis/emphysema, Alzheimer's disease/dementia, Diabetes. Group 2 : Parkinson's disease, Severe Depression, Lung cancer, Bowel cancer, Prostate cancer. If any of codes -11, -13 or -17 were selected then no additional Group 1 choices were allowed. If any of codes -21, -23 or -27 were selected then no additional Group 2 choices were allowed. If the participant activated the Help button they were shown the message: Answer this question for blood relations only. If you are not sure if your father suffered from any of the listed illnesses please select Do not know. If you know your father suffered from certain listed illnesses but are unsure about others, only select the ones you are sure about. The information was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~ and who indicated whether their natural father was still alive or had died, as defined by their answers to ~F1797~. Note that although Breast cancer is present in ~C1010~, participants were not presented with this option when selecting Father illnesses."
20107_101	Illnesses of father: None of the above (group 2)	298287	38912	222710	75577	"This field contains the combined results of 2 ACE touchscreen questions, both asked """"Has/did your father ever suffer from? (You can select more than one answer)"""" for different sets of illnesses. For convenience, the illnesses were arbitrarily divided into two sets: Group 1 : Heart disease, Stroke, High blood pressure, Chronic bronchitis/emphysema, Alzheimer's disease/dementia, Diabetes. Group 2 : Parkinson's disease, Severe Depression, Lung cancer, Bowel cancer, Prostate cancer. If any of codes -11, -13 or -17 were selected then no additional Group 1 choices were allowed. If any of codes -21, -23 or -27 were selected then no additional Group 2 choices were allowed. If the participant activated the Help button they were shown the message: Answer this question for blood relations only. If you are not sure if your father suffered from any of the listed illnesses please select Do not know. If you know your father suffered from certain listed illnesses but are unsure about others, only select the ones you are sure about. The information was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~ and who indicated whether their natural father was still alive or had died, as defined by their answers to ~F1797~. Note that although Breast cancer is present in ~C1010~, participants were not presented with this option when selecting Father illnesses."
20107_12	Illnesses of father: Severe depression	292602	44597	11053	281549	"This field contains the combined results of 2 ACE touchscreen questions, both asked """"Has/did your father ever suffer from? (You can select more than one answer)"""" for different sets of illnesses. For convenience, the illnesses were arbitrarily divided into two sets: Group 1 : Heart disease, Stroke, High blood pressure, Chronic bronchitis/emphysema, Alzheimer's disease/dementia, Diabetes. Group 2 : Parkinson's disease, Severe Depression, Lung cancer, Bowel cancer, Prostate cancer. If any of codes -11, -13 or -17 were selected then no additional Group 1 choices were allowed. If any of codes -21, -23 or -27 were selected then no additional Group 2 choices were allowed. If the participant activated the Help button they were shown the message: Answer this question for blood relations only. If you are not sure if your father suffered from any of the listed illnesses please select Do not know. If you know your father suffered from certain listed illnesses but are unsure about others, only select the ones you are sure about. The information was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~ and who indicated whether their natural father was still alive or had died, as defined by their answers to ~F1797~. Note that although Breast cancer is present in ~C1010~, participants were not presented with this option when selecting Father illnesses."
20107_13	Illnesses of father: Prostate cancer	292710	44489	22534	270176	"This field contains the combined results of 2 ACE touchscreen questions, both asked """"Has/did your father ever suffer from? (You can select more than one answer)"""" for different sets of illnesses. For convenience, the illnesses were arbitrarily divided into two sets: Group 1 : Heart disease, Stroke, High blood pressure, Chronic bronchitis/emphysema, Alzheimer's disease/dementia, Diabetes. Group 2 : Parkinson's disease, Severe Depression, Lung cancer, Bowel cancer, Prostate cancer. If any of codes -11, -13 or -17 were selected then no additional Group 1 choices were allowed. If any of codes -21, -23 or -27 were selected then no additional Group 2 choices were allowed. If the participant activated the Help button they were shown the message: Answer this question for blood relations only. If you are not sure if your father suffered from any of the listed illnesses please select Do not know. If you know your father suffered from certain listed illnesses but are unsure about others, only select the ones you are sure about. The information was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~ and who indicated whether their natural father was still alive or had died, as defined by their answers to ~F1797~. Note that although Breast cancer is present in ~C1010~, participants were not presented with this option when selecting Father illnesses."
20107_2	Illnesses of father: Stroke	294757	42442	46007	248750	"This field contains the combined results of 2 ACE touchscreen questions, both asked """"Has/did your father ever suffer from? (You can select more than one answer)"""" for different sets of illnesses. For convenience, the illnesses were arbitrarily divided into two sets: Group 1 : Heart disease, Stroke, High blood pressure, Chronic bronchitis/emphysema, Alzheimer's disease/dementia, Diabetes. Group 2 : Parkinson's disease, Severe Depression, Lung cancer, Bowel cancer, Prostate cancer. If any of codes -11, -13 or -17 were selected then no additional Group 1 choices were allowed. If any of codes -21, -23 or -27 were selected then no additional Group 2 choices were allowed. If the participant activated the Help button they were shown the message: Answer this question for blood relations only. If you are not sure if your father suffered from any of the listed illnesses please select Do not know. If you know your father suffered from certain listed illnesses but are unsure about others, only select the ones you are sure about. The information was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~ and who indicated whether their natural father was still alive or had died, as defined by their answers to ~F1797~. Note that although Breast cancer is present in ~C1010~, participants were not presented with this option when selecting Father illnesses."
20107_3	Illnesses of father: Lung cancer	294142	43057	27424	266718	"This field contains the combined results of 2 ACE touchscreen questions, both asked """"Has/did your father ever suffer from? (You can select more than one answer)"""" for different sets of illnesses. For convenience, the illnesses were arbitrarily divided into two sets: Group 1 : Heart disease, Stroke, High blood pressure, Chronic bronchitis/emphysema, Alzheimer's disease/dementia, Diabetes. Group 2 : Parkinson's disease, Severe Depression, Lung cancer, Bowel cancer, Prostate cancer. If any of codes -11, -13 or -17 were selected then no additional Group 1 choices were allowed. If any of codes -21, -23 or -27 were selected then no additional Group 2 choices were allowed. If the participant activated the Help button they were shown the message: Answer this question for blood relations only. If you are not sure if your father suffered from any of the listed illnesses please select Do not know. If you know your father suffered from certain listed illnesses but are unsure about others, only select the ones you are sure about. The information was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~ and who indicated whether their natural father was still alive or had died, as defined by their answers to ~F1797~. Note that although Breast cancer is present in ~C1010~, participants were not presented with this option when selecting Father illnesses."
20107_4	Illnesses of father: Bowel cancer	292883	44316	17428	275455	"This field contains the combined results of 2 ACE touchscreen questions, both asked """"Has/did your father ever suffer from? (You can select more than one answer)"""" for different sets of illnesses. For convenience, the illnesses were arbitrarily divided into two sets: Group 1 : Heart disease, Stroke, High blood pressure, Chronic bronchitis/emphysema, Alzheimer's disease/dementia, Diabetes. Group 2 : Parkinson's disease, Severe Depression, Lung cancer, Bowel cancer, Prostate cancer. If any of codes -11, -13 or -17 were selected then no additional Group 1 choices were allowed. If any of codes -21, -23 or -27 were selected then no additional Group 2 choices were allowed. If the participant activated the Help button they were shown the message: Answer this question for blood relations only. If you are not sure if your father suffered from any of the listed illnesses please select Do not know. If you know your father suffered from certain listed illnesses but are unsure about others, only select the ones you are sure about. The information was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~ and who indicated whether their natural father was still alive or had died, as defined by their answers to ~F1797~. Note that although Breast cancer is present in ~C1010~, participants were not presented with this option when selecting Father illnesses."
20107_6	Illnesses of father: Chronic bronchitis/emphysema	294680	42519	33805	260875	"This field contains the combined results of 2 ACE touchscreen questions, both asked """"Has/did your father ever suffer from? (You can select more than one answer)"""" for different sets of illnesses. For convenience, the illnesses were arbitrarily divided into two sets: Group 1 : Heart disease, Stroke, High blood pressure, Chronic bronchitis/emphysema, Alzheimer's disease/dementia, Diabetes. Group 2 : Parkinson's disease, Severe Depression, Lung cancer, Bowel cancer, Prostate cancer. If any of codes -11, -13 or -17 were selected then no additional Group 1 choices were allowed. If any of codes -21, -23 or -27 were selected then no additional Group 2 choices were allowed. If the participant activated the Help button they were shown the message: Answer this question for blood relations only. If you are not sure if your father suffered from any of the listed illnesses please select Do not know. If you know your father suffered from certain listed illnesses but are unsure about others, only select the ones you are sure about. The information was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~ and who indicated whether their natural father was still alive or had died, as defined by their answers to ~F1797~. Note that although Breast cancer is present in ~C1010~, participants were not presented with this option when selecting Father illnesses."
20107_8	Illnesses of father: High blood pressure	294950	42249	66341	228609	"This field contains the combined results of 2 ACE touchscreen questions, both asked """"Has/did your father ever suffer from? (You can select more than one answer)"""" for different sets of illnesses. For convenience, the illnesses were arbitrarily divided into two sets: Group 1 : Heart disease, Stroke, High blood pressure, Chronic bronchitis/emphysema, Alzheimer's disease/dementia, Diabetes. Group 2 : Parkinson's disease, Severe Depression, Lung cancer, Bowel cancer, Prostate cancer. If any of codes -11, -13 or -17 were selected then no additional Group 1 choices were allowed. If any of codes -21, -23 or -27 were selected then no additional Group 2 choices were allowed. If the participant activated the Help button they were shown the message: Answer this question for blood relations only. If you are not sure if your father suffered from any of the listed illnesses please select Do not know. If you know your father suffered from certain listed illnesses but are unsure about others, only select the ones you are sure about. The information was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~ and who indicated whether their natural father was still alive or had died, as defined by their answers to ~F1797~. Note that although Breast cancer is present in ~C1010~, participants were not presented with this option when selecting Father illnesses."
20107_9	Illnesses of father: Diabetes	293407	43792	28197	265210	"This field contains the combined results of 2 ACE touchscreen questions, both asked """"Has/did your father ever suffer from? (You can select more than one answer)"""" for different sets of illnesses. For convenience, the illnesses were arbitrarily divided into two sets: Group 1 : Heart disease, Stroke, High blood pressure, Chronic bronchitis/emphysema, Alzheimer's disease/dementia, Diabetes. Group 2 : Parkinson's disease, Severe Depression, Lung cancer, Bowel cancer, Prostate cancer. If any of codes -11, -13 or -17 were selected then no additional Group 1 choices were allowed. If any of codes -21, -23 or -27 were selected then no additional Group 2 choices were allowed. If the participant activated the Help button they were shown the message: Answer this question for blood relations only. If you are not sure if your father suffered from any of the listed illnesses please select Do not know. If you know your father suffered from certain listed illnesses but are unsure about others, only select the ones you are sure about. The information was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~ and who indicated whether their natural father was still alive or had died, as defined by their answers to ~F1797~. Note that although Breast cancer is present in ~C1010~, participants were not presented with this option when selecting Father illnesses."
20110_1	Illnesses of mother: Heart disease	311606	25593	62065	249541	"This field contains the combined results of 2 ACE touchscreen questions, both asked """"Has/did your mother ever suffer from? (You can select more than one answer)"""" for different sets of illnesses. For convenience, the illnesses were arbitrarily divided into two sets: Group 1 : Heart disease, Stroke, High blood pressure, Chronic bronchitis/emphysema, Alzheimer's disease/dementia, Diabetes. Group 2 : Parkinson's disease, Severe Depression, Lung cancer, Bowel cancer, Breast cancer. If any of codes -11, -13 or -17 were selected then no additional Group 1 choices were allowed. If any of codes -21, -23 or -27 were selected then no additional Group 2 choices were allowed. If the participant activated the Help button they were shown the message: Answer this question for blood relations only. If you are not sure if your mother suffered from any of the listed illnesses please select Do not know. If you know your mother suffered from certain listed illnesses but are unsure about others, only select the ones you are sure about. The information was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~ and who indicated whether their natural mother was still alive or had died, as defined by their answers to ~F1835~. Note that although Prostate cancer is present in ~C1010~, participants were not presented with this option when selecting Mother illnesses."
20110_10	Illnesses of mother: Alzheimer's disease/dementia	309843	27356	26757	283086	"This field contains the combined results of 2 ACE touchscreen questions, both asked """"Has/did your mother ever suffer from? (You can select more than one answer)"""" for different sets of illnesses. For convenience, the illnesses were arbitrarily divided into two sets: Group 1 : Heart disease, Stroke, High blood pressure, Chronic bronchitis/emphysema, Alzheimer's disease/dementia, Diabetes. Group 2 : Parkinson's disease, Severe Depression, Lung cancer, Bowel cancer, Breast cancer. If any of codes -11, -13 or -17 were selected then no additional Group 1 choices were allowed. If any of codes -21, -23 or -27 were selected then no additional Group 2 choices were allowed. If the participant activated the Help button they were shown the message: Answer this question for blood relations only. If you are not sure if your mother suffered from any of the listed illnesses please select Do not know. If you know your mother suffered from certain listed illnesses but are unsure about others, only select the ones you are sure about. The information was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~ and who indicated whether their natural mother was still alive or had died, as defined by their answers to ~F1835~. Note that although Prostate cancer is present in ~C1010~, participants were not presented with this option when selecting Mother illnesses."
20110_100	Illnesses of mother: None of the above (group 1)	311264	25935	129391	181873	"This field contains the combined results of 2 ACE touchscreen questions, both asked """"Has/did your mother ever suffer from? (You can select more than one answer)"""" for different sets of illnesses. For convenience, the illnesses were arbitrarily divided into two sets: Group 1 : Heart disease, Stroke, High blood pressure, Chronic bronchitis/emphysema, Alzheimer's disease/dementia, Diabetes. Group 2 : Parkinson's disease, Severe Depression, Lung cancer, Bowel cancer, Breast cancer. If any of codes -11, -13 or -17 were selected then no additional Group 1 choices were allowed. If any of codes -21, -23 or -27 were selected then no additional Group 2 choices were allowed. If the participant activated the Help button they were shown the message: Answer this question for blood relations only. If you are not sure if your mother suffered from any of the listed illnesses please select Do not know. If you know your mother suffered from certain listed illnesses but are unsure about others, only select the ones you are sure about. The information was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~ and who indicated whether their natural mother was still alive or had died, as defined by their answers to ~F1835~. Note that although Prostate cancer is present in ~C1010~, participants were not presented with this option when selecting Mother illnesses."
20110_101	Illnesses of mother: None of the above (group 2)	312950	24249	241462	71488	"This field contains the combined results of 2 ACE touchscreen questions, both asked """"Has/did your mother ever suffer from? (You can select more than one answer)"""" for different sets of illnesses. For convenience, the illnesses were arbitrarily divided into two sets: Group 1 : Heart disease, Stroke, High blood pressure, Chronic bronchitis/emphysema, Alzheimer's disease/dementia, Diabetes. Group 2 : Parkinson's disease, Severe Depression, Lung cancer, Bowel cancer, Breast cancer. If any of codes -11, -13 or -17 were selected then no additional Group 1 choices were allowed. If any of codes -21, -23 or -27 were selected then no additional Group 2 choices were allowed. If the participant activated the Help button they were shown the message: Answer this question for blood relations only. If you are not sure if your mother suffered from any of the listed illnesses please select Do not know. If you know your mother suffered from certain listed illnesses but are unsure about others, only select the ones you are sure about. The information was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~ and who indicated whether their natural mother was still alive or had died, as defined by their answers to ~F1835~. Note that although Prostate cancer is present in ~C1010~, participants were not presented with this option when selecting Mother illnesses."
20110_12	Illnesses of mother: Severe depression	309474	27725	20369	289105	"This field contains the combined results of 2 ACE touchscreen questions, both asked """"Has/did your mother ever suffer from? (You can select more than one answer)"""" for different sets of illnesses. For convenience, the illnesses were arbitrarily divided into two sets: Group 1 : Heart disease, Stroke, High blood pressure, Chronic bronchitis/emphysema, Alzheimer's disease/dementia, Diabetes. Group 2 : Parkinson's disease, Severe Depression, Lung cancer, Bowel cancer, Breast cancer. If any of codes -11, -13 or -17 were selected then no additional Group 1 choices were allowed. If any of codes -21, -23 or -27 were selected then no additional Group 2 choices were allowed. If the participant activated the Help button they were shown the message: Answer this question for blood relations only. If you are not sure if your mother suffered from any of the listed illnesses please select Do not know. If you know your mother suffered from certain listed illnesses but are unsure about others, only select the ones you are sure about. The information was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~ and who indicated whether their natural mother was still alive or had died, as defined by their answers to ~F1835~. Note that although Prostate cancer is present in ~C1010~, participants were not presented with this option when selecting Mother illnesses."
