Field.code	Field	N.non.missing	N.missing	N.cases	N.controls	code	category	category.name
20111_100	Illnesses of siblings: None of the above (group 1)	262734	74465	178376	84358	20111	100034	Family history
20111_101	Illnesses of siblings: None of the above (group 2)	265504	71695	224596	40908	20111	100034	Family history
20111_12	Illnesses of siblings: Severe depression	260744	76455	18239	242505	20111	100034	Family history
20111_5	Illnesses of siblings: Breast cancer	260387	76812	11380	249007	20111	100034	Family history
20111_8	Illnesses of siblings: High blood pressure	262361	74838	54270	208091	20111	100034	Family history
20111_9	Illnesses of siblings: Diabetes	261075	76124	21747	239328	20111	100034	Family history
20116_1	Smoking status: Previous	336024	1175	118419	217605	20116	100058	Smoking
20116_2	Smoking status: Current	336024	1175	33928	302096	20116	100058	Smoking
20117_0	Alcohol drinker status: Never	336965	234	10432	326533	20117	100051	Alcohol
20117_1	Alcohol drinker status: Previous	336965	234	11518	325447	20117	100051	Alcohol
20118_11	Home area population density - urban or rural: Scotland - Large Urban Area	333997	3202	18867	315130	20118	100024	Reception
20118_6	Home area population density - urban or rural: England/Wales - Town and Fringe - less sparse	333997	3202	24243	309754	20118	100024	Reception
20118_7	Home area population density - urban or rural: England/Wales - Village - less sparse	333997	3202	17271	316726	20118	100024	Reception
20127	Neuroticism score	274108	63091	NA	NA	20127	100060	Mental health
20150	Forced expiratory volume in 1-second (FEV1), Best measure	255492	81707	NA	NA	20150	100020	Spirometry
20151	Forced vital capacity (FVC), Best measure	255492	81707	NA	NA	20151	100020	Spirometry
20152	Reproduciblity of spirometry measurement using ERS/ATS criteria	255492	81707	199585	55907	20152	100020	Spirometry
20153	Forced expiratory volume in 1-second (FEV1), predicted	110423	226776	NA	NA	20153	100020	Spirometry
20154	Forced expiratory volume in 1-second (FEV1), predicted percentage	110423	226776	NA	NA	20154	100020	Spirometry
20160	Ever smoked	336067	1132	202585	133482	20160	100058	Smoking
2020	Loneliness, isolation	332263	4936	58752	273511	2020	100060	Mental health
2030	Guilty feelings	328769	8430	92945	235824	2030	100060	Mental health
2040	Risk taking	325821	11378	82808	243013	2040	100060	Mental health
2050	Frequency of depressed mood in last 2 weeks	323267	13932	NA	NA	2050	100060	Mental health
2060	Frequency of unenthusiasm / disinterest in last 2 weeks	326730	10469	NA	NA	2060	100060	Mental health
2070	Frequency of tenseness / restlessness in last 2 weeks	325169	12030	NA	NA	2070	100060	Mental health
2080	Frequency of tiredness / lethargy in last 2 weeks	327528	9671	NA	NA	2080	100060	Mental health
2090	Seen doctor (GP) for nerves, anxiety, tension or depression	335108	2091	115328	219780	2090	100060	Mental health
2100	Seen a psychiatrist for nerves, anxiety, tension or depression	335888	1311	38008	297880	2100	100060	Mental health
21001	Body mass index (BMI)	336107	1092	NA	NA	21001	100010	Body size measures
21002	Weight	336227	972	NA	NA	21002	100010	Body size measures
21021	Pulse wave Arterial Stiffness index	109813	227386	NA	NA	21021	100007	Arterial stiffness
2178	Overall health rating	336020	1179	NA	NA	2178	100042	General health
2188	Long-standing illness, disability or infirmity	329663	7536	107123	222540	2188	100042	General health
2207	Wears glasses or contact lenses	336919	280	301012	35907	2207	100041	Eyesight
22126	Doctor diagnosed hayfever or allergic rhinitis	83529	253670	18934	64595	22126	132	Medical information
22127	Doctor diagnosed asthma	83529	253670	10589	72940	22127	132	Medical information
2227	Other eye problems	336428	771	47823	288605	2227	100041	Eyesight
2247_1	Hearing difficulty/problems: Yes	323978	13221	84839	239139	2247	100043	Hearing
22502	Cough on most days	83529	253670	11424	72105	22502	132	Medical information
22503	Years of cough on most days	11424	325775	NA	NA	22503	132	Medical information
22506_113	Tobacco smoking: Ex-smoker	83133	254066	30184	52949	22506	132	Medical information
2257	Hearing difficulty/problems with background noise	330759	6440	125089	205670	2257	100043	Hearing
2296	Falls in the last year	336617	582	NA	NA	2296	100042	General health
2306	Weight change compared with 1 year ago	331803	5396	NA	NA	2306	100042	General health
23099	Body fat percentage	331117	6082	NA	NA	23099	100009	Impedance measures
23100	Whole body fat mass	330762	6437	NA	NA	23100	100009	Impedance measures
23101	Whole body fat-free mass	331291	5908	NA	NA	23101	100009	Impedance measures
23102	Whole body water mass	331315	5884	NA	NA	23102	100009	Impedance measures
23105	Basal metabolic rate	331307	5892	NA	NA	23105	100009	Impedance measures
23106	Impedance of whole body	331284	5915	NA	NA	23106	100009	Impedance measures
23107	Impedance of leg (right)	331301	5898	NA	NA	23107	100009	Impedance measures
23108	Impedance of leg (left)	331296	5903	NA	NA	23108	100009	Impedance measures
23109	Impedance of arm (right)	331279	5920	NA	NA	23109	100009	Impedance measures
23110	Impedance of arm (left)	331292	5907	NA	NA	23110	100009	Impedance measures
23111	Leg fat percentage (right)	331296	5903	NA	NA	23111	100009	Impedance measures
23112	Leg fat mass (right)	331293	5906	NA	NA	23112	100009	Impedance measures
23113	Leg fat-free mass (right)	331285	5914	NA	NA	23113	100009	Impedance measures
23114	Leg predicted mass (right)	331285	5914	NA	NA	23114	100009	Impedance measures
23115	Leg fat percentage (left)	331278	5921	NA	NA	23115	100009	Impedance measures
23116	Leg fat mass (left)	331275	5924	NA	NA	23116	100009	Impedance measures
23117	Leg fat-free mass (left)	331258	5941	NA	NA	23117	100009	Impedance measures
23118	Leg predicted mass (left)	331253	5946	NA	NA	23118	100009	Impedance measures
23119	Arm fat percentage (right)	331249	5950	NA	NA	23119	100009	Impedance measures
23120	Arm fat mass (right)	331226	5973	NA	NA	23120	100009	Impedance measures
23121	Arm fat-free mass (right)	331221	5978	NA	NA	23121	100009	Impedance measures
23122	Arm predicted mass (right)	331216	5983	NA	NA	23122	100009	Impedance measures
23123	Arm fat percentage (left)	331198	6001	NA	NA	23123	100009	Impedance measures
23124	Arm fat mass (left)	331164	6035	NA	NA	23124	100009	Impedance measures
23125	Arm fat-free mass (left)	331159	6040	NA	NA	23125	100009	Impedance measures
23126	Arm predicted mass (left)	331146	6053	NA	NA	23126	100009	Impedance measures
23127	Trunk fat percentage	331113	6086	NA	NA	23127	100009	Impedance measures
23128	Trunk fat mass	331093	6106	NA	NA	23128	100009	Impedance measures
23129	Trunk fat-free mass	331030	6169	NA	NA	23129	100009	Impedance measures
23130	Trunk predicted mass	330995	6204	NA	NA	23130	100009	Impedance measures
2316	Wheeze or whistling in the chest in last year	331257	5942	68531	262726	2316	100037	Breathing
2335	Chest pain or discomfort	334053	3146	51937	282116	2335	100039	Chest pain
2345	Ever had bowel cancer screening	332011	5188	107072	224939	2345	100040	Cancer screening
2355	Most recent bowel cancer screening	75920	261279	NA	NA	2355	100040	Cancer screening
2365	Ever had prostate specific antigen (PSA) test	147970	189229	46523	101447	2365	100040	Cancer screening
2375	Relative age of first facial hair	151113	186086	NA	NA	2375	100070	Male-specific factors
2385	Relative age voice broke	144645	192554	NA	NA	2385	100070	Male-specific factors
2395_2	Hair/balding pattern: Pattern 2	154988	182211	35563	119425	2395	100070	Male-specific factors
2395_3	Hair/balding pattern: Pattern 3	154988	182211	41584	113404	2395	100070	Male-specific factors
2395_4	Hair/balding pattern: Pattern 4	154988	182211	28389	126599	2395	100070	Male-specific factors
2405	Number of children fathered	154888	182311	NA	NA	2405	100070	Male-specific factors
2415	Had major operations	155045	182154	99647	55398	2415	100047	Operations
2443	Diabetes diagnosed by doctor	336473	726	16183	320290	2443	100044	Medical conditions
2453	Cancer diagnosed by doctor	336272	927	26576	309696	2453	100044	Medical conditions
2463	Fractured/broken bones in last 5 years	335587	1612	32193	303394	2463	100044	Medical conditions
2473	Other serious medical condition/disability diagnosed by doctor	331274	5925	67968	263306	2473	100044	Medical conditions
2492	Taking other prescription medications	336330	869	158113	178217	2492	100045	Medication
2624	Frequency of heavy DIY in last 4 weeks	137208	199991	NA	NA	2624	100054	Physical activity
2634	Duration of heavy DIY	137364	199835	NA	NA	2634	100054	Physical activity
2644	Light smokers, at least 100 smokes in lifetime	90517	246682	41027	49490	2644	100058	Smoking
2664_3	Reason for reducing amount of alcohol drunk: Health precaution	124798	212401	40728	84070	2664	100051	Alcohol
2674	Ever had breast cancer screening / mammogram	180861	156338	146420	34441	2674	100069	Female-specific factors
2684	Years since last breast cancer screening / mammogram	108052	229147	NA	NA	2684	100069	Female-specific factors
2704	Years since last cervical smear test	139363	197836	NA	NA	2704	100069	Female-specific factors
2714	Age when periods started (menarche)	176008	161191	NA	NA	2714	100069	Female-specific factors
2724	Had menopause	152035	185164	111605	40430	2724	100069	Female-specific factors
2734	Number of live births	180952	156247	NA	NA	2734	100069	Female-specific factors
2744	Birth weight of first child	145558	191641	NA	NA	2744	100069	Female-specific factors
2754	Age at first live birth	123846	213353	NA	NA	2754	100069	Female-specific factors
2764	Age at last live birth	123676	213523	NA	NA	2764	100069	Female-specific factors
2774	Ever had stillbirth, spontaneous miscarriage or termination	178474	158725	56172	122302	2774	100069	Female-specific factors
2784	Ever taken oral contraceptive pill	180749	156450	149365	31384	2784	100069	Female-specific factors
2794	Age started oral contraceptive pill	144113	193086	NA	NA	2794	100069	Female-specific factors
2814	Ever used hormone-replacement therapy (HRT)	180631	156568	71377	109254	2814	100069	Female-specific factors
2834	Bilateral oophorectomy (both ovaries removed)	178676	158523	14702	163974	2834	100069	Female-specific factors
2844	Had other major operations	179567	157632	120566	59001	2844	100047	Operations
2887	Number of cigarettes previously smoked daily	78291	258908	NA	NA	2887	100058	Smoking
2907	Ever stopped smoking for 6+ months	81538	255661	35064	46474	2907	100058	Smoking
2926	Number of unsuccessful stop-smoking attempts	75135	262064	NA	NA	2926	100058	Smoking
2936	Likelihood of resuming smoking	80926	256273	NA	NA	2936	100058	Smoking
3005	Fracture resulting from simple fall	31762	305437	18864	12898	3005	100044	Medical conditions
30510	Creatinine (enzymatic) in urine	327525	9674	NA	NA	30510	100083	Urine assays
30520	Potassium in urine	326816	10383	NA	NA	30520	100083	Urine assays
30530	Sodium in urine	326831	10368	NA	NA	30530	100083	Urine assays
3062	Forced vital capacity (FVC)	307638	29561	NA	NA	3062	100020	Spirometry
3063	Forced expiratory volume in 1-second (FEV1)	307638	29561	NA	NA	3063	100020	Spirometry
3064	Peak expiratory flow (PEF)	307638	29561	NA	NA	3064	100020	Spirometry
3393	Hearing aid user	204240	132959	10322	193918	3393	100043	Hearing
3404	Neck/shoulder pain for 3+ months	75651	261548	52253	23398	3404	100048	Pain
3456	Number of cigarettes currently smoked daily (current cigarette smokers)	23205	313994	NA	NA	3456	100058	Smoking
3466	Time from waking to first cigarette	23265	313934	NA	NA	3466	100058	Smoking
3476	Difficulty not smoking for 1 day	23332	313867	NA	NA	3476	100058	Smoking
3486	Ever tried to stop smoking	25181	312018	NA	NA	3486	100058	Smoking
3496	Wants to stop smoking	24913	312286	NA	NA	3496	100058	Smoking
3526	Mother's age at death	199690	137509	NA	NA	3526	100034	Family history
3571	Back pain for 3+ months	84489	252710	57893	26596	3571	100048	Pain
3591	Ever had hysterectomy (womb removed)	159679	177520	13060	146619	3591	100069	Female-specific factors
3637	Frequency of other exercises in last 4 weeks	161170	176029	NA	NA	3637	100054	Physical activity
3647	Duration of other exercises	161301	175898	NA	NA	3647	100054	Physical activity
3710	Length of menstrual cycle	30245	306954	NA	NA	3710	100069	Female-specific factors
3731	Former alcohol drinker	21894	315305	11518	10376	3731	100051	Alcohol
3741	Stomach/abdominal pain for 3+ months	27584	309615	15337	12247	3741	100048	Pain
3751	Chest pain or discomfort when walking uphill or hurrying	41494	295705	11056	30438	3751	100039	Chest pain
3773	Knee pain for 3+ months	70992	266207	55910	15082	3773	100048	Pain
3799	Headaches for 3+ months	65583	271616	29979	35604	3799	100048	Pain
3829	Number of stillbirths	56069	281130	NA	NA	3829	100069	Female-specific factors
3839	Number of spontaneous miscarriages	55927	281272	NA	NA	3839	100069	Female-specific factors
3849	Number of pregnancy terminations	55742	281457	NA	NA	3849	100069	Female-specific factors
3872	Age of primiparous women at birth of child	23804	313395	NA	NA	3872	100069	Female-specific factors
399	Number of incorrect matches in round	336881	318	NA	NA	399	100030	Pairs matching
40009	Reported occurrences of cancer	44805	292394	NA	NA	40009	100092	Cancer register
4079	Diastolic blood pressure, automated reading	317756	19443	NA	NA	4079	100011	Blood pressure
4080	Systolic blood pressure, automated reading	317754	19445	NA	NA	4080	100011	Blood pressure
4106	Heel bone mineral density (BMD) T-score, automated (left)	106254	230945	NA	NA	4106	100018	Bone-densitometry of heel
4125	Heel bone mineral density (BMD) T-score, automated (right)	106251	230948	NA	NA	4125	100018	Bone-densitometry of heel
4194	Pulse rate	110153	227046	NA	NA	4194	100007	Arterial stiffness
4195	Pulse wave reflection index	110153	227046	NA	NA	4195	100007	Arterial stiffness
4196	Pulse wave peak to peak time	110099	227100	NA	NA	4196	100007	Arterial stiffness
4407	Average monthly red wine intake	24396	312803	NA	NA	4407	100051	Alcohol
4418	Average monthly champagne plus white wine intake	24367	312832	NA	NA	4418	100051	Alcohol
4429	Average monthly beer plus cider intake	24452	312747	NA	NA	4429	100051	Alcohol
4440	Average monthly spirits intake	24364	312835	NA	NA	4440	100051	Alcohol
4451	Average monthly fortified wine intake	24471	312728	NA	NA	4451	100051	Alcohol
4462	Average monthly intake of other alcoholic drinks	24505	312694	NA	NA	4462	100051	Alcohol
4501	Non-accidental death in close genetic family	105569	231630	28680	76889	4501	100034	Family history
4526	Happiness	110935	226264	NA	NA	4526	100060	Mental health
4537	Work/job satisfaction	75840	261359	NA	NA	4537	100060	Mental health
4548	Health satisfaction	110964	226235	NA	NA	4548	100060	Mental health
4559	Family relationship satisfaction	110290	226909	NA	NA	4559	100060	Mental health
4570	Friendships satisfaction	110118	227081	NA	NA	4570	100060	Mental health
4581	Financial situation satisfaction	110814	226385	NA	NA	4581	100060	Mental health
4598	Ever depressed for a whole week	109229	227970	58468	50761	4598	100060	Mental health
46	Hand grip strength (left)	335821	1378	NA	NA	46	100019	Hand grip strength
4609	Longest period of depression	46884	290315	NA	NA	4609	100060	Mental health
4620	Number of depression episodes	42378	294821	NA	NA	4620	100060	Mental health
4631	Ever unenthusiastic/disinterested for a whole week	106868	230331	39154	67714	4631	100060	Mental health
4653	Ever highly irritable/argumentative for 2 days	108925	228274	19265	89660	4653	100060	Mental health
47	Hand grip strength (right)	335842	1357	NA	NA	47	100019	Hand grip strength
4717	Shortness of breath walking on level ground	109508	227691	11459	98049	4717	100037	Breathing
4728	Leg pain on walking	110337	226862	24101	86236	4728	100038	Claudication and peripheral artery disease
48	Waist circumference	336639	560	NA	NA	48	100010	Body size measures
4803_14	Tinnitus: Yes, but not now, but have in the past	109411	227788	12076	97335	4803	100043	Hearing
4814	Tinnitus severity/nuisance	31627	305572	NA	NA	4814	100043	Hearing
4825	Noisy workplace	110439	226760	NA	NA	4825	100043	Hearing
4836	Loud music exposure frequency	109889	227310	NA	NA	4836	100043	Hearing
49	Hip circumference	336601	598	NA	NA	49	100010	Body size measures
50	Standing height	336474	725	NA	NA	50	100010	Body size measures
5057	Number of older siblings	95618	241581	NA	NA	5057	100034	Family history
5364	Average weekly intake of other alcoholic drinks	79291	257908	NA	NA	5364	100051	Alcohol
5375	Longest period of unenthusiasm / disinterest	29704	307495	NA	NA	5375	100060	Mental health
5386	Number of unenthusiastic/disinterested episodes	27707	309492	NA	NA	5386	100060	Mental health
5485	Leg pain when walking normally	23470	313729	13259	10211	5485	100038	Claudication and peripheral artery disease
5507	Leg pain on walking : action taken	23719	313480	NA	NA	5507	100038	Claudication and peripheral artery disease
6015	Chest pain felt during physical activity	50451	286748	NA	NA	6015	100012	ECG during exercise
6016	Chest pain felt outside physical activity	50451	286748	NA	NA	6016	100012	ECG during exercise
6017	Able to walk or cycle unaided for 10 minutes	50451	286748	NA	NA	6017	100012	ECG during exercise
6032	Maximum workload during fitness test	49623	287576	NA	NA	6032	100012	ECG during exercise
6033	Maximum heart rate during fitness test	49610	287589	NA	NA	6033	100012	ECG during exercise
6038	Number of trend entries	49623	287576	NA	NA	6038	100012	ECG during exercise
6039	Duration of fitness test	49623	287576	NA	NA	6039	100012	ECG during exercise
6138_1	Qualifications: College or University degree	334070	3129	106305	227765	6138	100063	Education
6138_100	Qualifications: None of the above	334070	3129	57567	276503	6138	100063	Education
6138_2	Qualifications: A levels/AS levels or equivalent	334070	3129	91710	242360	6138	100063	Education
6138_3	Qualifications: O levels/GCSEs or equivalent	334070	3129	159730	174340	6138	100063	Education
6138_4	Qualifications: CSEs or equivalent	334070	3129	44362	289708	6138	100063	Education
6138_5	Qualifications: NVQ or HND or HNC or equivalent	334070	3129	62848	271222	6138	100063	Education
6138_6	Qualifications: Other professional qualifications eg: nursing, teaching	334070	3129	97524	236546	6138	100063	Education
6142_1	Current employment status: In paid employment or self-employed	336252	947	190779	145473	6142	100064	Employment
6142_2	Current employment status: Retired	336252	947	125766	210486	6142	100064	Employment
6142_3	Current employment status: Looking after home and/or family	336252	947	16722	319530	6142	100064	Employment
6142_4	Current employment status: Unable to work because of sickness or disability	336252	947	12554	323698	6142	100064	Employment
6142_6	Current employment status: Doing unpaid or voluntary work	336252	947	12407	323845	6142	100064	Employment
6143_1	Transport type for commuting to job workplace: Car/motor vehicle	177550	159649	142996	34554	6143	100064	Employment
6143_2	Transport type for commuting to job workplace: Walk	177550	159649	27862	149688	6143	100064	Employment
6143_3	Transport type for commuting to job workplace: Public transport	177550	159649	35908	141642	6143	100064	Employment
6143_4	Transport type for commuting to job workplace: Cycle	177550	159649	13527	164023	6143	100064	Employment
6145_1	Illness, injury, bereavement, stress in last 2 years: Serious illness, injury or assault to yourself	335219	1980	30762	304457	6145	100060	Mental health
6145_100	Illness, injury, bereavement, stress in last 2 years: None of the above	335219	1980	189518	145701	6145	100060	Mental health
6145_2	Illness, injury, bereavement, stress in last 2 years: Serious illness, injury or assault of a close relative	335219	1980	38516	296703	6145	100060	Mental health
6145_3	Illness, injury, bereavement, stress in last 2 years: Death of a close relative	335219	1980	69921	265298	6145	100060	Mental health
6145_6	Illness, injury, bereavement, stress in last 2 years: Financial difficulties	335219	1980	37284	297935	6145	100060	Mental health
6147_1	Reason for glasses/contact lenses: For short-sightedness, i.e. only or mainly for distance viewing such as driving, cinema etc (called 'myopia')	335700	1499	26943	308757	6147	100041	Eyesight
6147_2	Reason for glasses/contact lenses: For long-sightedness, i.e. for distance and near, but particularly for near tasks like reading (called 'hypermetropia')	335700	1499	13923	321777	6147	100041	Eyesight
6147_3	Reason for glasses/contact lenses: For just reading/near work as you are getting older (called 'presbyopia')	335700	1499	29144	306556	6147	100041	Eyesight
